,Unnamed: 0,Country,Year,Month,Pollutant,GHG,Element,Temperature
8436,8514,France,2003,July,Methane,67232.12,Temperature change,2.517
8438,8516,France,2003,August,Methane,67232.12,Temperature change,5.2410000000000005
8440,8518,France,2003,September,Methane,67232.12,Temperature change,0.8909999999999999
8442,8520,France,2003,October,Methane,67232.12,Temperature change,-1.215
8444,8522,France,2003,November,Methane,67232.12,Temperature change,1.93
8446,8524,France,2003,December,Methane,67232.12,Temperature change,0.899
8448,8526,France,2004,January,Methane,65747.945,Temperature change,1.328
8450,8528,France,2004,February,Methane,65747.945,Temperature change,0.752
8452,8530,France,2004,March,Methane,65747.945,Temperature change,-0.081
8454,8532,France,2004,April,Methane,65747.945,Temperature change,0.7559999999999999
8456,8534,France,2004,May,Methane,65747.945,Temperature change,0.258
8458,8536,France,2004,June,Methane,65747.945,Temperature change,1.8619999999999999
8460,8538,France,2004,July,Methane,65747.945,Temperature change,0.705
8462,8540,France,2004,August,Methane,65747.945,Temperature change,1.724
8464,8542,France,2004,September,Methane,65747.945,Temperature change,1.367
8466,8544,France,2004,October,Methane,65747.945,Temperature change,1.7919999999999998
8468,8546,France,2004,November,Methane,65747.945,Temperature change,0.369
8470,8548,France,2004,December,Methane,65747.945,Temperature change,0.151
8472,8550,France,2005,January,Methane,64652.809,Temperature change,1.151
8474,8552,France,2005,February,Methane,64652.809,Temperature change,-1.685
8476,8554,France,2005,March,Methane,64652.809,Temperature change,0.602
8478,8556,France,2005,April,Methane,64652.809,Temperature change,1.2429999999999999
8480,8558,France,2005,May,Methane,64652.809,Temperature change,1.554
8482,8560,France,2005,June,Methane,64652.809,Temperature change,3.022
8484,8562,France,2005,July,Methane,64652.809,Temperature change,1.685
8486,8564,France,2005,August,Methane,64652.809,Temperature change,0.51
8488,8566,France,2005,September,Methane,64652.809,Temperature change,1.207
8490,8568,France,2005,October,Methane,64652.809,Temperature change,2.888
8492,8570,France,2005,November,Methane,64652.809,Temperature change,-0.024
8494,8572,France,2005,December,Methane,64652.809,Temperature change,-1.41
8496,8574,France,2006,January,Methane,63920.074,Temperature change,-0.44
8498,8576,France,2006,February,Methane,63920.074,Temperature change,-0.883
8500,8578,France,2006,March,Methane,63920.074,Temperature change,0.005
8502,8580,France,2006,April,Methane,63920.074,Temperature change,1.2670000000000001
8504,8582,France,2006,May,Methane,63920.074,Temperature change,1.527
8506,8584,France,2006,June,Methane,63920.074,Temperature change,2.452
8508,8586,France,2006,July,Methane,63920.074,Temperature change,4.709
8510,8588,France,2006,August,Methane,63920.074,Temperature change,-0.33399999999999996
8512,8590,France,2006,September,Methane,63920.074,Temperature change,2.6910000000000003
8514,8592,France,2006,October,Methane,63920.074,Temperature change,3.299
8516,8594,France,2006,November,Methane,63920.074,Temperature change,2.84
8518,8596,France,2006,December,Methane,63920.074,Temperature change,1.197
8520,8598,France,2007,January,Methane,63494.356,Temperature change,3.3810000000000002
8522,8600,France,2007,February,Methane,63494.356,Temperature change,3.2430000000000003
8524,8602,France,2007,March,Methane,63494.356,Temperature change,1.139
8526,8604,France,2007,April,Methane,63494.356,Temperature change,4.36
8528,8606,France,2007,May,Methane,63494.356,Temperature change,1.916
8530,8608,France,2007,June,Methane,63494.356,Temperature change,1.567
8532,8610,France,2007,July,Methane,63494.356,Temperature change,0.215
8534,8612,France,2007,August,Methane,63494.356,Temperature change,0.254
8536,8614,France,2007,September,Methane,63494.356,Temperature change,-0.47100000000000003
8538,8616,France,2007,October,Methane,63494.356,Temperature change,0.19
8540,8618,France,2007,November,Methane,63494.356,Temperature change,-0.163
8542,8620,France,2007,December,Methane,63494.356,Temperature change,0.073
8544,8622,France,2008,January,Methane,63548.039,Temperature change,2.8710000000000004
8546,8624,France,2008,February,Methane,63548.039,Temperature change,2.39
8548,8626,France,2008,March,Methane,63548.039,Temperature change,0.439
8550,8628,France,2008,April,Methane,63548.039,Temperature change,0.44299999999999995
8552,8630,France,2008,May,Methane,63548.039,Temperature change,2.4459999999999997
8554,8632,France,2008,June,Methane,63548.039,Temperature change,1.317
8556,8634,France,2008,July,Methane,63548.039,Temperature change,0.841
8558,8636,France,2008,August,Methane,63548.039,Temperature change,0.9470000000000001
8560,8638,France,2008,September,Methane,63548.039,Temperature change,-0.733
8562,8640,France,2008,October,Methane,63548.039,Temperature change,0.16899999999999998
8564,8642,France,2008,November,Methane,63548.039,Temperature change,0.589
8566,8644,France,2008,December,Methane,63548.039,Temperature change,-0.573
8568,8646,France,2009,January,Methane,62456.82,Temperature change,-0.9620000000000001
8570,8648,France,2009,February,Methane,62456.82,Temperature change,-0.059000000000000004
8572,8650,France,2009,March,Methane,62456.82,Temperature change,0.745
8574,8652,France,2009,April,Methane,62456.82,Temperature change,2.005
8576,8654,France,2009,May,Methane,62456.82,Temperature change,2.331
8578,8656,France,2009,June,Methane,62456.82,Temperature change,1.686
8580,8658,France,2009,July,Methane,62456.82,Temperature change,1.483
8582,8660,France,2009,August,Methane,62456.82,Temperature change,2.6210000000000004
8584,8662,France,2009,September,Methane,62456.82,Temperature change,1.264
8586,8664,France,2009,October,Methane,62456.82,Temperature change,0.986
8588,8666,France,2009,November,Methane,62456.82,Temperature change,2.861
8590,8668,France,2009,December,Methane,62456.82,Temperature change,0.084
8592,8670,France,2010,January,Methane,62197.356,Temperature change,-1.6880000000000002
8594,8672,France,2010,February,Methane,62197.356,Temperature change,-0.46399999999999997
8596,8674,France,2010,March,Methane,62197.356,Temperature change,0.11599999999999999
8598,8676,France,2010,April,Methane,62197.356,Temperature change,1.76
8600,8678,France,2010,May,Methane,62197.356,Temperature change,-0.23
8602,8680,France,2010,June,Methane,62197.356,Temperature change,1.364
8604,8682,France,2010,July,Methane,62197.356,Temperature change,2.622
8606,8684,France,2010,August,Methane,62197.356,Temperature change,0.755
8608,8686,France,2010,September,Methane,62197.356,Temperature change,-0.142
8610,8688,France,2010,October,Methane,62197.356,Temperature change,0.008
8612,8690,France,2010,November,Methane,62197.356,Temperature change,0.358
8614,8692,France,2010,December,Methane,62197.356,Temperature change,-2.262
8616,8694,France,2011,January,Methane,61006.372,Temperature change,0.825
8618,8696,France,2011,February,Methane,61006.372,Temperature change,1.74
8620,8698,France,2011,March,Methane,61006.372,Temperature change,1.636
8622,8700,France,2011,April,Methane,61006.372,Temperature change,4.1610000000000005
8624,8702,France,2011,May,Methane,61006.372,Temperature change,2.7889999999999997
8626,8704,France,2011,June,Methane,61006.372,Temperature change,1.179
8628,8706,France,2011,July,Methane,61006.372,Temperature change,-0.494
8630,8708,France,2011,August,Methane,61006.372,Temperature change,1.536
8632,8710,France,2011,September,Methane,61006.372,Temperature change,2.314
8634,8712,France,2011,October,Methane,61006.372,Temperature change,1.68
8636,8714,France,2011,November,Methane,61006.372,Temperature change,3.07
8638,8716,France,2011,December,Methane,61006.372,Temperature change,2.479
8640,8718,France,2012,January,Methane,59676.208,Temperature change,2.133
8642,8720,France,2012,February,Methane,59676.208,Temperature change,-2.983
8644,8722,France,2012,March,Methane,59676.208,Temperature change,2.93
8646,8724,France,2012,April,Methane,59676.208,Temperature change,0.18
8648,8726,France,2012,May,Methane,59676.208,Temperature change,1.8159999999999998
8650,8728,France,2012,June,Methane,59676.208,Temperature change,1.59
8652,8730,France,2012,July,Methane,59676.208,Temperature change,0.514
8654,8732,France,2012,August,Methane,59676.208,Temperature change,2.6889999999999996
8656,8734,France,2012,September,Methane,59676.208,Temperature change,0.48100000000000004
8658,8736,France,2012,October,Methane,59676.208,Temperature change,1.177
8660,8738,France,2012,November,Methane,59676.208,Temperature change,1.389
8662,8740,France,2012,December,Methane,59676.208,Temperature change,1.439
8664,8742,France,2013,January,Methane,59160.698,Temperature change,0.654
8666,8744,France,2013,February,Methane,59160.698,Temperature change,-1.381
8668,8746,France,2013,March,Methane,59160.698,Temperature change,-0.6920000000000001
8670,8748,France,2013,April,Methane,59160.698,Temperature change,0.662
8672,8750,France,2013,May,Methane,59160.698,Temperature change,-1.205
8674,8752,France,2013,June,Methane,59160.698,Temperature change,0.203
8676,8754,France,2013,July,Methane,59160.698,Temperature change,3.05
8678,8756,France,2013,August,Methane,59160.698,Temperature change,1.671
8680,8758,France,2013,September,Methane,59160.698,Temperature change,1.0390000000000001
8682,8760,France,2013,October,Methane,59160.698,Temperature change,2.563
8684,8762,France,2013,November,Methane,59160.698,Temperature change,0.33399999999999996
8686,8764,France,2013,December,Methane,59160.698,Temperature change,1.454
8688,8766,France,2014,January,Methane,58986.967,Temperature change,3.2260000000000004
8690,8768,France,2014,February,Methane,58986.967,Temperature change,2.441
8692,8770,France,2014,March,Methane,58986.967,Temperature change,2.2
8694,8772,France,2014,April,Methane,58986.967,Temperature change,2.739
8696,8774,France,2014,May,Methane,58986.967,Temperature change,0.551
8698,8776,France,2014,June,Methane,58986.967,Temperature change,2.144
8700,8778,France,2014,July,Methane,58986.967,Temperature change,1.081
8702,8780,France,2014,August,Methane,58986.967,Temperature change,-0.01
8704,8782,France,2014,September,Methane,58986.967,Temperature change,1.995
8706,8784,France,2014,October,Methane,58986.967,Temperature change,3.1510000000000002
8708,8786,France,2014,November,Methane,58986.967,Temperature change,3.352
8710,8788,France,2014,December,Methane,58986.967,Temperature change,1.2329999999999999
8712,8790,France,2015,January,Methane,58308.52,Temperature change,1.493
8714,8792,France,2015,February,Methane,58308.52,Temperature change,-0.29600000000000004
8716,8794,France,2015,March,Methane,58308.52,Temperature change,1.359
8718,8796,France,2015,April,Methane,58308.52,Temperature change,2.251
8720,8798,France,2015,May,Methane,58308.52,Temperature change,1.507
8722,8800,France,2015,June,Methane,58308.52,Temperature change,2.5
8724,8802,France,2015,July,Methane,58308.52,Temperature change,3.2969999999999997
8726,8804,France,2015,August,Methane,58308.52,Temperature change,2.293
8728,8806,France,2015,September,Methane,58308.52,Temperature change,-0.38
8730,8808,France,2015,October,Methane,58308.52,Temperature change,0.258
8732,8810,France,2015,November,Methane,58308.52,Temperature change,3.429
8734,8812,France,2015,December,Methane,58308.52,Temperature change,4.417
8736,8814,France,2016,January,Methane,57747.165,Temperature change,2.733
8738,8816,France,2016,February,Methane,57747.165,Temperature change,2.025
8740,8818,France,2016,March,Methane,57747.165,Temperature change,0.28600000000000003
8742,8820,France,2016,April,Methane,57747.165,Temperature change,0.815
8744,8822,France,2016,May,Methane,57747.165,Temperature change,0.907
8746,8824,France,2016,June,Methane,57747.165,Temperature change,1.331
8748,8826,France,2016,July,Methane,57747.165,Temperature change,1.824
8750,8828,France,2016,August,Methane,57747.165,Temperature change,2.381
8752,8830,France,2016,September,Methane,57747.165,Temperature change,2.8810000000000002
8754,8832,France,2016,October,Methane,57747.165,Temperature change,0.298
8756,8834,France,2016,November,Methane,57747.165,Temperature change,1.1640000000000001
8758,8836,France,2016,December,Methane,57747.165,Temperature change,1.146
8760,8838,France,2017,January,Methane,57378.981,Temperature change,-0.91
8762,8840,France,2017,February,Methane,57378.981,Temperature change,2.8939999999999997
8764,8842,France,2017,March,Methane,57378.981,Temperature change,3.335
8766,8844,France,2017,April,Methane,57378.981,Temperature change,1.2790000000000001
8768,8846,France,2017,May,Methane,57378.981,Temperature change,2.489
8770,8848,France,2017,June,Methane,57378.981,Temperature change,3.807
8772,8850,France,2017,July,Methane,57378.981,Temperature change,2.151
8774,8852,France,2017,August,Methane,57378.981,Temperature change,2.254
8776,8854,France,2017,September,Methane,57378.981,Temperature change,-0.401
8778,8856,France,2017,October,Methane,57378.981,Temperature change,2.386
8780,8858,France,2017,November,Methane,57378.981,Temperature change,0.6890000000000001
8782,8860,France,2017,December,Methane,57378.981,Temperature change,0.645
8784,8862,France,2018,January,Methane,56500.004,Temperature change,3.883
8786,8864,France,2018,February,Methane,56500.004,Temperature change,-1.6680000000000001
8788,8866,France,2018,March,Methane,56500.004,Temperature change,0.305
8790,8868,France,2018,April,Methane,56500.004,Temperature change,3.4810000000000003
8792,8870,France,2018,May,Methane,56500.004,Temperature change,2.24
8794,8872,France,2018,June,Methane,56500.004,Temperature change,2.698
8796,8874,France,2018,July,Methane,56500.004,Temperature change,3.5869999999999997
8798,8876,France,2018,August,Methane,56500.004,Temperature change,3.072
8800,8878,France,2018,September,Methane,56500.004,Temperature change,2.309
8802,8880,France,2018,October,Methane,56500.004,Temperature change,1.8980000000000001
8804,8882,France,2018,November,Methane,56500.004,Temperature change,1.8519999999999999
8806,8884,France,2018,December,Methane,56500.004,Temperature change,2.577
8808,8886,Germany,1990,January,Carbon dioxide,1052348.544,Temperature change,3.1510000000000002
8810,8888,Germany,1990,February,Carbon dioxide,1052348.544,Temperature change,5.707999999999999
8812,8890,Germany,1990,March,Carbon dioxide,1052348.544,Temperature change,3.705
8814,8892,Germany,1990,April,Carbon dioxide,1052348.544,Temperature change,0.222
8816,8894,Germany,1990,May,Carbon dioxide,1052348.544,Temperature change,1.854
8818,8896,Germany,1990,June,Carbon dioxide,1052348.544,Temperature change,-0.032
8820,8898,Germany,1990,July,Carbon dioxide,1052348.544,Temperature change,-0.132
8822,8900,Germany,1990,August,Carbon dioxide,1052348.544,Temperature change,1.9580000000000002
8824,8902,Germany,1990,September,Carbon dioxide,1052348.544,Temperature change,-1.3559999999999999
8826,8904,Germany,1990,October,Carbon dioxide,1052348.544,Temperature change,1.621
8828,8906,Germany,1990,November,Carbon dioxide,1052348.544,Temperature change,0.493
8830,8908,Germany,1990,December,Carbon dioxide,1052348.544,Temperature change,-0.09699999999999999
8832,8910,Germany,1991,January,Carbon dioxide,1014199.715,Temperature change,2.233
8834,8912,Germany,1991,February,Carbon dioxide,1014199.715,Temperature change,-2.4659999999999997
8836,8914,Germany,1991,March,Carbon dioxide,1014199.715,Temperature change,3.2510000000000003
8838,8916,Germany,1991,April,Carbon dioxide,1014199.715,Temperature change,-0.184
8840,8918,Germany,1991,May,Carbon dioxide,1014199.715,Temperature change,-2.41
8842,8920,Germany,1991,June,Carbon dioxide,1014199.715,Temperature change,-1.683
8844,8922,Germany,1991,July,Carbon dioxide,1014199.715,Temperature change,2.1719999999999997
8846,8924,Germany,1991,August,Carbon dioxide,1014199.715,Temperature change,1.6340000000000001
8848,8926,Germany,1991,September,Carbon dioxide,1014199.715,Temperature change,1.546
8850,8928,Germany,1991,October,Carbon dioxide,1014199.715,Temperature change,-0.478
8852,8930,Germany,1991,November,Carbon dioxide,1014199.715,Temperature change,-0.077
8854,8932,Germany,1991,December,Carbon dioxide,1014199.715,Temperature change,-0.055999999999999994
8856,8934,Germany,1992,January,Carbon dioxide,965889.813,Temperature change,1.699
8858,8936,Germany,1992,February,Carbon dioxide,965889.813,Temperature change,2.69
8860,8938,Germany,1992,March,Carbon dioxide,965889.813,Temperature change,1.621
8862,8940,Germany,1992,April,Carbon dioxide,965889.813,Temperature change,0.491
8864,8942,Germany,1992,May,Carbon dioxide,965889.813,Temperature change,2.322
8866,8944,Germany,1992,June,Carbon dioxide,965889.813,Temperature change,1.7619999999999998
8868,8946,Germany,1992,July,Carbon dioxide,965889.813,Temperature change,1.854
8870,8948,Germany,1992,August,Carbon dioxide,965889.813,Temperature change,2.88
8872,8950,Germany,1992,September,Carbon dioxide,965889.813,Temperature change,0.292
8874,8952,Germany,1992,October,Carbon dioxide,965889.813,Temperature change,-2.18
8876,8954,Germany,1992,November,Carbon dioxide,965889.813,Temperature change,1.3880000000000001
8878,8956,Germany,1992,December,Carbon dioxide,965889.813,Temperature change,0.685
8880,8958,Germany,1993,January,Carbon dioxide,956233.108,Temperature change,3.1630000000000003
8882,8960,Germany,1993,February,Carbon dioxide,956233.108,Temperature change,-0.55
8884,8962,Germany,1993,March,Carbon dioxide,956233.108,Temperature change,0.41600000000000004
8886,8964,Germany,1993,April,Carbon dioxide,956233.108,Temperature change,2.878
8888,8966,Germany,1993,May,Carbon dioxide,956233.108,Temperature change,2.815
8890,8968,Germany,1993,June,Carbon dioxide,956233.108,Temperature change,0.297
8892,8970,Germany,1993,July,Carbon dioxide,956233.108,Temperature change,-0.513
8894,8972,Germany,1993,August,Carbon dioxide,956233.108,Temperature change,-0.451
8896,8974,Germany,1993,September,Carbon dioxide,956233.108,Temperature change,-0.892
8898,8976,Germany,1993,October,Carbon dioxide,956233.108,Temperature change,-0.812
8900,8978,Germany,1993,November,Carbon dioxide,956233.108,Temperature change,-3.3
8902,8980,Germany,1993,December,Carbon dioxide,956233.108,Temperature change,2.282
8904,8982,Germany,1994,January,Carbon dioxide,939630.279,Temperature change,3.674
8906,8984,Germany,1994,February,Carbon dioxide,939630.279,Temperature change,-0.17600000000000002
8908,8986,Germany,1994,March,Carbon dioxide,939630.279,Temperature change,3.089
8910,8988,Germany,1994,April,Carbon dioxide,939630.279,Temperature change,0.6779999999999999
8912,8990,Germany,1994,May,Carbon dioxide,939630.279,Temperature change,0.763
8914,8992,Germany,1994,June,Carbon dioxide,939630.279,Temperature change,0.5870000000000001
8916,8994,Germany,1994,July,Carbon dioxide,939630.279,Temperature change,4.34
8918,8996,Germany,1994,August,Carbon dioxide,939630.279,Temperature change,1.6640000000000001
8920,8998,Germany,1994,September,Carbon dioxide,939630.279,Temperature change,0.126
8922,9000,Germany,1994,October,Carbon dioxide,939630.279,Temperature change,-0.8320000000000001
8924,9002,Germany,1994,November,Carbon dioxide,939630.279,Temperature change,3.287
8926,9004,Germany,1994,December,Carbon dioxide,939630.279,Temperature change,2.734
8928,9006,Germany,1995,January,Carbon dioxide,939176.704,Temperature change,0.9179999999999999
8930,9008,Germany,1995,February,Carbon dioxide,939176.704,Temperature change,4.364
8932,9010,Germany,1995,March,Carbon dioxide,939176.704,Temperature change,0.0
8934,9012,Germany,1995,April,Carbon dioxide,939176.704,Temperature change,1.186
8936,9014,Germany,1995,May,Carbon dioxide,939176.704,Temperature change,0.35700000000000004
8938,9016,Germany,1995,June,Carbon dioxide,939176.704,Temperature change,-0.9179999999999999
8940,9018,Germany,1995,July,Carbon dioxide,939176.704,Temperature change,3.285
8942,9020,Germany,1995,August,Carbon dioxide,939176.704,Temperature change,1.9240000000000002
8944,9022,Germany,1995,September,Carbon dioxide,939176.704,Temperature change,-0.517
8946,9024,Germany,1995,October,Carbon dioxide,939176.704,Temperature change,3.1310000000000002
8948,9026,Germany,1995,November,Carbon dioxide,939176.704,Temperature change,-0.792
8950,9028,Germany,1995,December,Carbon dioxide,939176.704,Temperature change,-2.4219999999999997
8952,9030,Germany,1996,January,Carbon dioxide,959124.13,Temperature change,-1.6280000000000001
8954,9032,Germany,1996,February,Carbon dioxide,959124.13,Temperature change,-2.202
8956,9034,Germany,1996,March,Carbon dioxide,959124.13,Temperature change,-2.025
8958,9036,Germany,1996,April,Carbon dioxide,959124.13,Temperature change,1.064
8960,9038,Germany,1996,May,Carbon dioxide,959124.13,Temperature change,-0.506
8962,9040,Germany,1996,June,Carbon dioxide,959124.13,Temperature change,0.33299999999999996
8964,9042,Germany,1996,July,Carbon dioxide,959124.13,Temperature change,-0.778
8966,9044,Germany,1996,August,Carbon dioxide,959124.13,Temperature change,0.932
8968,9046,Germany,1996,September,Carbon dioxide,959124.13,Temperature change,-2.295
8970,9048,Germany,1996,October,Carbon dioxide,959124.13,Temperature change,0.583
8972,9050,Germany,1996,November,Carbon dioxide,959124.13,Temperature change,0.56
8974,9052,Germany,1996,December,Carbon dioxide,959124.13,Temperature change,-2.7439999999999998
8976,9054,Germany,1997,January,Carbon dioxide,931230.07,Temperature change,-1.7080000000000002
8978,9056,Germany,1997,February,Carbon dioxide,931230.07,Temperature change,3.8760000000000003
8980,9058,Germany,1997,March,Carbon dioxide,931230.07,Temperature change,2.735
8982,9060,Germany,1997,April,Carbon dioxide,931230.07,Temperature change,-0.904
8984,9062,Germany,1997,May,Carbon dioxide,931230.07,Temperature change,0.893
8986,9064,Germany,1997,June,Carbon dioxide,931230.07,Temperature change,0.491
8988,9066,Germany,1997,July,Carbon dioxide,931230.07,Temperature change,0.529
8990,9068,Germany,1997,August,Carbon dioxide,931230.07,Temperature change,3.5010000000000003
8992,9070,Germany,1997,September,Carbon dioxide,931230.07,Temperature change,0.7070000000000001
8994,9072,Germany,1997,October,Carbon dioxide,931230.07,Temperature change,-0.7959999999999999
8996,9074,Germany,1997,November,Carbon dioxide,931230.07,Temperature change,0.128
8998,9076,Germany,1997,December,Carbon dioxide,931230.07,Temperature change,1.504
9000,9078,Germany,1998,January,Carbon dioxide,923275.909,Temperature change,3.2
9002,9080,Germany,1998,February,Carbon dioxide,923275.909,Temperature change,4.279
9004,9082,Germany,1998,March,Carbon dioxide,923275.909,Temperature change,1.645
9006,9084,Germany,1998,April,Carbon dioxide,923275.909,Temperature change,1.619
9008,9086,Germany,1998,May,Carbon dioxide,923275.909,Temperature change,2.131
9010,9088,Germany,1998,June,Carbon dioxide,923275.909,Temperature change,1.2690000000000001
9012,9090,Germany,1998,July,Carbon dioxide,923275.909,Temperature change,-0.055999999999999994
9014,9092,Germany,1998,August,Carbon dioxide,923275.909,Temperature change,0.532
9016,9094,Germany,1998,September,Carbon dioxide,923275.909,Temperature change,0.17600000000000002
9018,9096,Germany,1998,October,Carbon dioxide,923275.909,Temperature change,-0.098
9020,9098,Germany,1998,November,Carbon dioxide,923275.909,Temperature change,-2.377
9022,9100,Germany,1998,December,Carbon dioxide,923275.909,Temperature change,0.259
9024,9102,Germany,1999,January,Carbon dioxide,895642.931,Temperature change,3.3489999999999998
9026,9104,Germany,1999,February,Carbon dioxide,895642.931,Temperature change,0.14800000000000002
9028,9106,Germany,1999,March,Carbon dioxide,895642.931,Temperature change,2.252
9030,9108,Germany,1999,April,Carbon dioxide,895642.931,Temperature change,1.76
9032,9110,Germany,1999,May,Carbon dioxide,895642.931,Temperature change,1.94
9034,9112,Germany,1999,June,Carbon dioxide,895642.931,Temperature change,-0.10800000000000001
9036,9114,Germany,1999,July,Carbon dioxide,895642.931,Temperature change,2.114
9038,9116,Germany,1999,August,Carbon dioxide,895642.931,Temperature change,0.9740000000000001
9040,9118,Germany,1999,September,Carbon dioxide,895642.931,Temperature change,3.67
9042,9120,Germany,1999,October,Carbon dioxide,895642.931,Temperature change,0.473
9044,9122,Germany,1999,November,Carbon dioxide,895642.931,Temperature change,-0.436
9046,9124,Germany,1999,December,Carbon dioxide,895642.931,Temperature change,1.334
9048,9126,Germany,2000,January,Carbon dioxide,899780.198,Temperature change,1.6569999999999998
9050,9128,Germany,2000,February,Carbon dioxide,899780.198,Temperature change,3.782
9052,9130,Germany,2000,March,Carbon dioxide,899780.198,Temperature change,1.926
9054,9132,Germany,2000,April,Carbon dioxide,899780.198,Temperature change,2.832
9056,9134,Germany,2000,May,Carbon dioxide,899780.198,Temperature change,2.883
9058,9136,Germany,2000,June,Carbon dioxide,899780.198,Temperature change,1.518
9060,9138,Germany,2000,July,Carbon dioxide,899780.198,Temperature change,-1.168
9062,9140,Germany,2000,August,Carbon dioxide,899780.198,Temperature change,1.445
9064,9142,Germany,2000,September,Carbon dioxide,899780.198,Temperature change,0.856
9066,9144,Germany,2000,October,Carbon dioxide,899780.198,Temperature change,1.874
9068,9146,Germany,2000,November,Carbon dioxide,899780.198,Temperature change,2.198
9070,9148,Germany,2000,December,Carbon dioxide,899780.198,Temperature change,2.495
9072,9150,Germany,2001,January,Carbon dioxide,916366.135,Temperature change,1.653
9074,9152,Germany,2001,February,Carbon dioxide,916366.135,Temperature change,2.233
9076,9154,Germany,2001,March,Carbon dioxide,916366.135,Temperature change,1.101
9078,9156,Germany,2001,April,Carbon dioxide,916366.135,Temperature change,-0.04
9080,9158,Germany,2001,May,Carbon dioxide,916366.135,Temperature change,2.42
9082,9160,Germany,2001,June,Carbon dioxide,916366.135,Temperature change,-0.851
9084,9162,Germany,2001,July,Carbon dioxide,916366.135,Temperature change,1.72
9086,9164,Germany,2001,August,Carbon dioxide,916366.135,Temperature change,2.35
9088,9166,Germany,2001,September,Carbon dioxide,916366.135,Temperature change,-1.396
9090,9168,Germany,2001,October,Carbon dioxide,916366.135,Temperature change,3.903
9092,9170,Germany,2001,November,Carbon dioxide,916366.135,Temperature change,-0.11900000000000001
9094,9172,Germany,2001,December,Carbon dioxide,916366.135,Temperature change,-1.032
9096,9174,Germany,2002,January,Carbon dioxide,899821.053,Temperature change,1.9080000000000001
9098,9176,Germany,2002,February,Carbon dioxide,899821.053,Temperature change,4.928999999999999
9100,9178,Germany,2002,March,Carbon dioxide,899821.053,Temperature change,2.281
9102,9180,Germany,2002,April,Carbon dioxide,899821.053,Temperature change,0.846
9104,9182,Germany,2002,May,Carbon dioxide,899821.053,Temperature change,2.0
9106,9184,Germany,2002,June,Carbon dioxide,899821.053,Temperature change,2.066
9108,9186,Germany,2002,July,Carbon dioxide,899821.053,Temperature change,1.058
9110,9188,Germany,2002,August,Carbon dioxide,899821.053,Temperature change,2.593
9112,9190,Germany,2002,September,Carbon dioxide,899821.053,Temperature change,0.02
9114,9192,Germany,2002,October,Carbon dioxide,899821.053,Temperature change,-0.489
9116,9194,Germany,2002,November,Carbon dioxide,899821.053,Temperature change,1.646
9118,9196,Germany,2002,December,Carbon dioxide,899821.053,Temperature change,-0.157
9120,9198,Germany,2003,January,Carbon dioxide,900866.405,Temperature change,0.452
9122,9200,Germany,2003,February,Carbon dioxide,900866.405,Temperature change,-1.693
9124,9202,Germany,2003,March,Carbon dioxide,900866.405,Temperature change,2.307
9126,9204,Germany,2003,April,Carbon dioxide,900866.405,Temperature change,1.0659999999999998
9128,9206,Germany,2003,May,Carbon dioxide,900866.405,Temperature change,2.355
9130,9208,Germany,2003,June,Carbon dioxide,900866.405,Temperature change,3.931
9132,9210,Germany,2003,July,Carbon dioxide,900866.405,Temperature change,2.4130000000000003
9134,9212,Germany,2003,August,Carbon dioxide,900866.405,Temperature change,4.128
9136,9214,Germany,2003,September,Carbon dioxide,900866.405,Temperature change,0.76
9138,9216,Germany,2003,October,Carbon dioxide,900866.405,Temperature change,-2.701
9140,9218,Germany,2003,November,Carbon dioxide,900866.405,Temperature change,2.1719999999999997
9142,9220,Germany,2003,December,Carbon dioxide,900866.405,Temperature change,1.2329999999999999
9144,9222,Germany,2004,January,Carbon dioxide,886965.974,Temperature change,0.593
9146,9224,Germany,2004,February,Carbon dioxide,886965.974,Temperature change,2.351
9148,9226,Germany,2004,March,Carbon dioxide,886965.974,Temperature change,0.8340000000000001
9150,9228,Germany,2004,April,Carbon dioxide,886965.974,Temperature change,2.0140000000000002
9152,9230,Germany,2004,May,Carbon dioxide,886965.974,Temperature change,-0.22
9154,9232,Germany,2004,June,Carbon dioxide,886965.974,Temperature change,0.067
9156,9234,Germany,2004,July,Carbon dioxide,886965.974,Temperature change,0.272
9158,9236,Germany,2004,August,Carbon dioxide,886965.974,Temperature change,2.24
9160,9238,Germany,2004,September,Carbon dioxide,886965.974,Temperature change,0.802
9162,9240,Germany,2004,October,Carbon dioxide,886965.974,Temperature change,1.439
9164,9242,Germany,2004,November,Carbon dioxide,886965.974,Temperature change,0.33799999999999997
9166,9244,Germany,2004,December,Carbon dioxide,886965.974,Temperature change,0.475
9168,9246,Germany,2005,January,Carbon dioxide,866388.5490000001,Temperature change,2.7230000000000003
9170,9248,Germany,2005,February,Carbon dioxide,866388.5490000001,Temperature change,-1.041
9172,9250,Germany,2005,March,Carbon dioxide,866388.5490000001,Temperature change,0.34299999999999997
9174,9252,Germany,2005,April,Carbon dioxide,866388.5490000001,Temperature change,1.9240000000000002
9176,9254,Germany,2005,May,Carbon dioxide,866388.5490000001,Temperature change,1.057
9178,9256,Germany,2005,June,Carbon dioxide,866388.5490000001,Temperature change,1.044
9180,9258,Germany,2005,July,Carbon dioxide,866388.5490000001,Temperature change,1.479
9182,9260,Germany,2005,August,Carbon dioxide,866388.5490000001,Temperature change,-0.40399999999999997
